,keywords,number_of_times_word_appeared,tf,idf,tf_idf
103,in,20,0.013689253935660506,-2.995732273553991,-0.041009339815934166
60,on,13,0.00889801505817933,-2.5649493574615367,-0.02282295800616015
67,at,13,0.00889801505817933,-2.5649493574615367,-0.02282295800616015
114,as,12,0.008213552361396304,-2.4849066497880004,-0.02040991088121561
27,the,9,0.006160164271047228,-2.1972245773362196,-0.013535264336773427
77,el,9,0.006160164271047228,-2.1972245773362196,-0.013535264336773427
73,and,7,0.004791238877481177,-1.9459101490553135,-0.00932332035823901
29,to,6,0.004106776180698152,-1.791759469228055,-0.007358355109766139
4,ct,6,0.004106776180698152,-1.791759469228055,-0.007358355109766139
62,leila,5,0.0034223134839151265,-1.6094379124341003,-0.005508001069247434
11,of,5,0.0034223134839151265,-1.6094379124341003,-0.005508001069247434
24,sololearn,4,0.0027378507871321013,-1.3862943611198906,-0.0037954671077888857
18,com,4,0.0027378507871321013,-1.3862943611198906,-0.0037954671077888857
81,texas,4,0.0027378507871321013,-1.3862943611198906,-0.0037954671077888857
38,paso,4,0.0027378507871321013,-1.3862943611198906,-0.0037954671077888857
87,coursera,4,0.0027378507871321013,-1.3862943611198906,-0.0037954671077888857
97,ux,4,0.0027378507871321013,-1.3862943611198906,-0.0037954671077888857
47,martinez,3,0.002053388090349076,-1.0986122886681098,-0.002255877389462238
121,design,3,0.002053388090349076,-1.0986122886681098,-0.002255877389462238
96,biology,3,0.002053388090349076,-1.0986122886681098,-0.002255877389462238
86,aug,3,0.002053388090349076,-1.0986122886681098,-0.002255877389462238
12,experience,3,0.002053388090349076,-1.0986122886681098,-0.002255877389462238
78,dec,3,0.002053388090349076,-1.0986122886681098,-0.002255877389462238
19,university,3,0.002053388090349076,-1.0986122886681098,-0.002255877389462238
75,mtz,2,0.0013689253935660506,-0.6931471805599453,-0.0009488667769472214
102,insurance,2,0.0013689253935660506,-0.6931471805599453,-0.0009488667769472214
108,months,2,0.0013689253935660506,-0.6931471805599453,-0.0009488667769472214
109,tutor,2,0.0013689253935660506,-0.6931471805599453,-0.0009488667769472214
116,start,2,0.0013689253935660506,-0.6931471805599453,-0.0009488667769472214
56,prototypes,2,0.0013689253935660506,-0.6931471805599453,-0.0009488667769472214
91,user,2,0.0013689253935660506,-0.6931471805599453,-0.0009488667769472214
68,fidelity,2,0.0013689253935660506,-0.6931471805599453,-0.0009488667769472214
125,their,2,0.0013689253935660506,-0.6931471805599453,-0.0009488667769472214
28,test,2,0.0013689253935660506,-0.6931471805599453,-0.0009488667769472214
9,ale,2,0.0013689253935660506,-0.6931471805599453,-0.0009488667769472214
30,year,2,0.0013689253935660506,-0.6931471805599453,-0.0009488667769472214
32,research,2,0.0013689253935660506,-0.6931471805599453,-0.0009488667769472214
23,page,2,0.0013689253935660506,-0.6931471805599453,-0.0009488667769472214
20,low,2,0.0013689253935660506,-0.6931471805599453,-0.0009488667769472214
1,degree,2,0.0013689253935660506,-0.6931471805599453,-0.0009488667769472214
100,states,1,0.0006844626967830253,0.0,0.0
99,q2ht3xes56uw,1,0.0006844626967830253,0.0,0.0
98,oriented,1,0.0006844626967830253,0.0,0.0
83,wireframes,1,0.0006844626967830253,0.0,0.0
10,united,1,0.0006844626967830253,0.0,0.0
95,greeted,1,0.0006844626967830253,0.0,0.0
94,for,1,0.0006844626967830253,0.0,0.0
93,concentration,1,0.0006844626967830253,0.0,0.0
85,c21jhspo,1,0.0006844626967830253,0.0,0.0
92,desk,1,0.0006844626967830253,0.0,0.0
13,visit,1,0.0006844626967830253,0.0,0.0
90,well,1,0.0006844626967830253,0.0,0.0
89,up,1,0.0006844626967830253,0.0,0.0
88,licenses,1,0.0006844626967830253,0.0,0.0
14,had,1,0.0006844626967830253,0.0,0.0
15,appointments,1,0.0006844626967830253,0.0,0.0
84,front,1,0.0006844626967830253,0.0,0.0
101,master,1,0.0006844626967830253,0.0,0.0
33,programming,1,0.0006844626967830253,0.0,0.0
7,with,1,0.0006844626967830253,0.0,0.0
123,sure,1,0.0006844626967830253,0.0,0.0
122,tutored,1,0.0006844626967830253,0.0,0.0
120,was,1,0.0006844626967830253,0.0,0.0
119,usability,1,0.0006844626967830253,0.0,0.0
118,problem,1,0.0006844626967830253,0.0,0.0
117,city,1,0.0006844626967830253,0.0,0.0
2,sql,1,0.0006844626967830253,0.0,0.0
115,engineering,1,0.0006844626967830253,0.0,0.0
3,bachelor,1,0.0006844626967830253,0.0,0.0
113,flutter,1,0.0006844626967830253,0.0,0.0
112,linkedin,1,0.0006844626967830253,0.0,0.0
111,date,1,0.0006844626967830253,0.0,0.0
110,check,1,0.0006844626967830253,0.0,0.0
5,java,1,0.0006844626967830253,0.0,0.0
6,sun,1,0.0006844626967830253,0.0,0.0
107,oct,1,0.0006844626967830253,0.0,0.0
106,conduct,1,0.0006844626967830253,0.0,0.0
105,cellular,1,0.0006844626967830253,0.0,0.0
104,patients,1,0.0006844626967830253,0.0,0.0
8,starting,1,0.0006844626967830253,0.0,0.0
82,fzittwjk,1,0.0006844626967830253,0.0,0.0
79,kidney,1,0.0006844626967830253,0.0,0.0
80,esoe27xb,1,0.0006844626967830253,0.0,0.0
52,leilaalemtz,1,0.0006844626967830253,0.0,0.0
51,med,1,0.0006844626967830253,0.0,0.0
50,foundations,1,0.0006844626967830253,0.0,0.0
49,approved,1,0.0006844626967830253,0.0,0.0
48,pre,1,0.0006844626967830253,0.0,0.0
46,build,1,0.0006844626967830253,0.0,0.0
45,ideate,1,0.0006844626967830253,0.0,0.0
44,were,1,0.0006844626967830253,0.0,0.0
53,computer,1,0.0006844626967830253,0.0,0.0
43,concepts,1,0.0006844626967830253,0.0,0.0
41,hwjx8dndv8w,1,0.0006844626967830253,0.0,0.0
40,prototyping,1,0.0006844626967830253,0.0,0.0
39,labs,1,0.0006844626967830253,0.0,0.0
31,certifications,1,0.0006844626967830253,0.0,0.0
37,define,1,0.0006844626967830253,0.0,0.0
36,receptionist,1,0.0006844626967830253,0.0,0.0
35,testing,1,0.0006844626967830253,0.0,0.0
34,made,1,0.0006844626967830253,0.0,0.0
42,object,1,0.0006844626967830253,0.0,0.0
54,students,1,0.0006844626967830253,0.0,0.0
55,file,1,0.0006844626967830253,0.0,0.0
57,spring,1,0.0006844626967830253,0.0,0.0
17,audits,1,0.0006844626967830253,0.0,0.0
76,statements,1,0.0006844626967830253,0.0,0.0
21,kotlin,1,0.0006844626967830253,0.0,0.0
74,semester,1,0.0006844626967830253,0.0,0.0
22,them,1,0.0006844626967830253,0.0,0.0
72,process,1,0.0006844626967830253,0.0,0.0
71,software,1,0.0006844626967830253,0.0,0.0
70,competitive,1,0.0006844626967830253,0.0,0.0
69,empathize,1,0.0006844626967830253,0.0,0.0
25,early,1,0.0006844626967830253,0.0,0.0
66,education,1,0.0006844626967830253,0.0,0.0
65,molecular,1,0.0006844626967830253,0.0,0.0
64,firebase,1,0.0006844626967830253,0.0,0.0
63,may,1,0.0006844626967830253,0.0,0.0
124,oop,1,0.0006844626967830253,0.0,0.0
61,maf8hbzvqk5b,1,0.0006844626967830253,0.0,0.0
26,skills,1,0.0006844626967830253,0.0,0.0
59,gmail,1,0.0006844626967830253,0.0,0.0
58,ued,1,0.0006844626967830253,0.0,0.0
16,python,1,0.0006844626967830253,0.0,0.0
0,microbiology,1,0.0006844626967830253,0.0,0.0
